[2023-09-09 18:40:39.385 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Mapping task arguments...
[2023-09-09 18:40:39.387 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["0","B"],"currentIteration":1}
[2023-09-09 18:40:39.388 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 18:40:39.389 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Setup results file before task execution
[2023-09-09 18:40:39.392 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 18:40:39.488 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Received tokens: [InputToken{portName='IPortC', token={content='A0-B0', iteration=0}}]
[2023-09-09 18:40:39.497 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Mapping task arguments...
[2023-09-09 18:40:39.521 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0-B0"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":0}
[2023-09-09 18:40:39.526 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:40:39.527 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Setup results file before task execution
[2023-09-09 18:40:39.529 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:40:39.710 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 547ms
[2023-09-09 18:40:39.711 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-09 18:40:39.713 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-09 18:40:39.714 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-09 18:40:39.717 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-09 18:40:39.718 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
