[2023-09-09 19:17:15.873 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Activity started
[2023-09-09 19:17:16.616 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Creating input ports...
[2023-09-09 19:17:16.469 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Activity started
[2023-09-09 19:17:17.105 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Creating input ports...
[2023-09-09 19:17:17.213 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:17:17.234 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Waiting for tokens...
[2023-09-09 19:17:16.872 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:17:17.409 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:17:17.533 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:17:17.542 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Waiting for tokens...
[2023-09-09 19:17:17.029 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Activity started
[2023-09-09 19:17:17.656 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Creating input ports...
[2023-09-09 19:17:18.024 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:17:18.033 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:17:17.557 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Activity started
[2023-09-09 19:17:17.684 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:17:18.134 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:17:18.155 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Waiting for tokens...
