[2023-09-09 18:47:39.842 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Executing task
[2023-09-09 18:47:39.842 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Setup results file before task execution
[2023-09-09 18:47:39.845 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Executing task
[2023-09-09 18:47:40.083 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 391ms
[2023-09-09 18:47:40.083 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 18:47:40.085 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 18:47:40.085 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 18:47:40.088 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 18:47:40.088 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-09 18:47:40.090 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-09 18:47:40.095 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 18:47:40.096 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-09 18:47:40.099 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 18:47:40.194 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Received tokens: [InputToken{portName='IPortB', token={content='A1', iteration=1}}]
[2023-09-09 18:47:40.200 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Mapping task arguments...
[2023-09-09 18:47:40.225 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["10","B"],"currentIteration":1}
[2023-09-09 18:47:40.228 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Executing task
[2023-09-09 18:47:40.229 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Setup results file before task execution
