[2023-09-09 19:36:02.704 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Activity started
[2023-09-09 19:36:02.774 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Creating input ports...
[2023-09-09 19:36:02.728 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Activity started
[2023-09-09 19:36:02.814 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Creating input ports...
[2023-09-09 19:36:02.875 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:36:02.878 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:36:02.892 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:36:02.894 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Waiting for tokens...
[2023-09-09 19:36:02.805 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Activity started
[2023-09-09 19:36:02.905 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Creating input ports...
[2023-09-09 19:36:02.818 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Activity started
[2023-09-09 19:36:02.921 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Creating input ports...
[2023-09-09 19:36:03.004 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:36:03.013 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Waiting for tokens...
[2023-09-09 19:36:03.017 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
