[2023-09-09 18:48:51.121 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Activity started
[2023-09-09 18:48:51.621 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Creating input ports...
[2023-09-09 18:48:52.178 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:48:52.199 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Waiting for tokens...
[2023-09-09 18:48:53.341 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Activity started
[2023-09-09 18:48:53.887 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Creating input ports...
[2023-09-09 18:48:53.523 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 18:48:53.595 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Activity started
[2023-09-09 18:48:54.072 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 18:48:54.063 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Creating input ports...
[2023-09-09 18:48:54.138 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 18:48:54.150 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 18:48:53.806 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Activity started
[2023-09-09 18:48:54.320 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Creating input ports...
[2023-09-09 18:48:54.362 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:48:53.885 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Activity started
[2023-09-09 18:48:54.383 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_10 | iteration: 1] - Waiting for tokens...
[2023-09-09 18:48:54.421 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Creating input ports...
[2023-09-09 18:48:54.485 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 18:48:54.516 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:48:54.535 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 18:48:54.540 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:48:54.539 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:48:54.565 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Waiting for tokens...
[2023-09-09 18:48:54.130 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Activity started
[2023-09-09 18:48:54.097 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Activity started
[2023-09-09 18:48:54.698 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Creating input ports...
[2023-09-09 18:48:54.709 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Creating input ports...
[2023-09-09 18:48:54.211 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Activity started
[2023-09-09 18:48:54.805 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Creating input ports...
[2023-09-09 18:48:54.824 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:48:54.799 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:48:54.853 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Waiting for tokens...
[2023-09-09 18:48:54.312 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Activity started
[2023-09-09 18:48:54.886 | workflowName: LongRunningWorkflow | activityName: B_replica_7_of_10 | iteration: 6] - Creating input ports...
[2023-09-09 18:48:54.827 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Waiting for tokens...
[2023-09-09 18:48:54.363 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 18:48:54.407 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Activity started
