[2023-09-09 18:41:26.776 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Mapping task arguments...
[2023-09-09 18:41:26.778 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["0","B"],"currentIteration":1}
[2023-09-09 18:41:26.779 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 18:41:26.780 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Setup results file before task execution
[2023-09-09 18:41:26.782 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 18:41:26.846 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Received tokens: [InputToken{portName='IPortC', token={content='A0-B0', iteration=0}}]
[2023-09-09 18:41:26.847 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Mapping task arguments...
[2023-09-09 18:41:26.875 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0-B0"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":0}
[2023-09-09 18:41:26.879 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:41:26.880 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Setup results file before task execution
[2023-09-09 18:41:26.884 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:41:27.053 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 465ms
[2023-09-09 18:41:27.055 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-09 18:41:27.057 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-09 18:41:27.058 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-09 18:41:27.061 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-09 18:41:27.067 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
