[2023-09-09 19:33:43.473 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Activity started
[2023-09-09 19:33:43.536 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Creating input ports...
[2023-09-09 19:33:43.592 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:33:43.597 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:33:43.536 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Activity started
[2023-09-09 19:33:43.601 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Creating input ports...
[2023-09-09 19:33:43.653 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:33:43.655 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Waiting for tokens...
[2023-09-09 19:33:43.734 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:33:43.811 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:33:43.821 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:33:43.824 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:33:43.857 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:33:43.859 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:33:43.860 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
