[2023-09-09 19:49:01.353 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Activity started
[2023-09-09 19:49:01.450 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Creating input ports...
[2023-09-09 19:49:01.362 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Activity started
[2023-09-09 19:49:01.469 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Creating input ports...
[2023-09-09 19:49:01.525 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:49:01.527 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Waiting for tokens...
[2023-09-09 19:49:01.427 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Activity started
[2023-09-09 19:49:01.530 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Creating input ports...
[2023-09-09 19:49:01.437 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Activity started
[2023-09-09 19:49:01.535 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Creating input ports...
[2023-09-09 19:49:01.543 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:49:01.545 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Waiting for tokens...
[2023-09-09 19:49:01.447 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:49:01.576 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:49:01.600 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:49:01.604 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:49:01.614 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:49:01.618 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:49:01.633 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:49:01.635 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Waiting for tokens...
[2023-09-09 19:49:01.657 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:49:01.659 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:49:01.660 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 19:49:01.662 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:49:01.665 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Activity started
[2023-09-09 19:49:01.835 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Creating input ports...
[2023-09-09 19:49:01.714 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:49:01.879 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:49:01.958 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:49:01.971 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:49:01.973 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:49:01.972 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Waiting for tokens...
[2023-09-09 19:49:02.154 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 454ms
[2023-09-09 19:49:02.155 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 19:49:02.160 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 19:49:02.161 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 19:49:02.185 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:49:02.194 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:49:02.196 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
