[2023-09-09 19:38:43.758 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Activity started
[2023-09-09 19:38:43.901 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Creating input ports...
[2023-09-09 19:38:44.012 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:38:44.022 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_10 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:38:43.874 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Activity started
[2023-09-09 19:38:44.057 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Creating input ports...
[2023-09-09 19:38:44.015 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Activity started
[2023-09-09 19:38:44.172 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Creating input ports...
[2023-09-09 19:38:44.030 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Activity started
[2023-09-09 19:38:44.216 | workflowName: LongRunningWorkflow | activityName: B_replica_6_of_10 | iteration: 5] - Creating input ports...
[2023-09-09 19:38:44.230 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:38:44.259 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_10 | iteration: 4] - Waiting for tokens...
[2023-09-09 19:38:44.075 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Activity started
[2023-09-09 19:38:44.270 | workflowName: LongRunningWorkflow | activityName: B_replica_8_of_10 | iteration: 7] - Creating input ports...
[2023-09-09 19:38:44.288 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:38:44.137 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Activity started
[2023-09-09 19:38:44.301 | workflowName: LongRunningWorkflow | activityName: B_replica_10_of_10 | iteration: 9] - Waiting for tokens...
[2023-09-09 19:38:44.308 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_10 | iteration: 2] - Creating input ports...
[2023-09-09 19:38:44.176 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Activity started
[2023-09-09 19:38:44.332 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_10 | iteration: 3] - Creating input ports...
[2023-09-09 19:38:44.164 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:38:44.163 | workflowName: LongRunningWorkflow | activityName: B_replica_9_of_10 | iteration: 8] - Activity started
[2023-09-09 19:38:44.351 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
