1694281195801[2023-09-09 18:39:55.801 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
1694281195961[2023-09-09 18:39:55.961 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
1694281198155[2023-09-09 18:39:58.155 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Incrementing workflow iteration...
1694281196508[2023-09-09 18:39:56.508 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
1694281198920[2023-09-09 18:39:58.920 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Incrementing workflow iteration...
1694281196886[2023-09-09 18:39:56.886 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
1694281199349[2023-09-09 18:39:59.349 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Incrementing workflow iteration...
1694281197436[2023-09-09 18:39:57.436 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
1694281199715[2023-09-09 18:39:59.715 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Finished Activity execution
