[2023-09-09 19:01:29.059 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Activity started
[2023-09-09 19:01:29.376 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Creating input ports...
[2023-09-09 19:01:29.674 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:01:29.713 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Waiting for tokens...
[2023-09-09 19:01:29.461 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Activity started
[2023-09-09 19:01:29.799 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Creating input ports...
[2023-09-09 19:01:29.686 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Activity started
[2023-09-09 19:01:30.013 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Creating input ports...
[2023-09-09 19:01:29.699 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:01:30.120 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:01:29.844 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Activity started
[2023-09-09 19:01:30.145 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Creating input ports...
[2023-09-09 19:01:30.140 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:01:30.165 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:01:30.167 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:01:30.186 | workflowName: LongRunningWorkflow | activityName: B_replica_5_of_5 | iteration: 4] - Waiting for tokens...
[2023-09-09 19:01:30.222 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:01:30.238 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:01:30.239 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 19:01:30.243 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:01:30.310 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:01:30.313 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_5 | iteration: 1] - Waiting for tokens...
[2023-09-09 19:01:29.991 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Activity started
[2023-09-09 19:01:30.361 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Creating input ports...
[2023-09-09 19:01:30.145 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:01:30.436 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:01:30.438 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:01:30.454 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:01:30.543 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:01:30.573 | workflowName: LongRunningWorkflow | activityName: B_replica_3_of_5 | iteration: 2] - Waiting for tokens...
[2023-09-09 19:01:30.630 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:01:30.638 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:01:30.980 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 655ms
[2023-09-09 19:01:30.982 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 19:01:30.987 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 19:01:30.988 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 19:01:31.017 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:01:31.027 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:01:31.030 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 19:01:31.032 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 19:01:31.033 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:01:31.034 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 19:01:31.036 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:01:31.163 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 19:01:31.165 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Mapping task arguments...
[2023-09-09 19:01:31.192 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-09 19:01:31.195 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Executing task
[2023-09-09 19:01:31.196 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Setup results file before task execution
[2023-09-09 19:01:31.198 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_5 | iteration: 0] - Executing task
[2023-09-09 19:01:31.403 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 366ms
[2023-09-09 19:01:31.405 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 19:01:31.407 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 19:01:31.408 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 19:01:31.410 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 19:01:31.411 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-09 19:01:31.412 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-09 19:01:31.414 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
